IP地址,端口,国家缩写,TLS,数据中心,地区,城市,网络延迟,速度(MB/s)
146.70.169.115,443,NL,TRUE,AMS,欧洲,阿姆斯特丹,168 ms,6.22
37.123.193.101,17473,US,TRUE,SJC,北美洲,圣何塞,158 ms,6.21
35.240.184.147,8092,SG,TRUE,SIN,亚太,新加坡,208 ms,6.2
146.70.175.177,443,NL,TRUE,AMS,欧洲,阿姆斯特丹,218 ms,6.15
152.67.9.19,443,IN,TRUE,BOM,亚太,孟买,217 ms,6.1
138.3.222.33,443,JP,TRUE,NRT,亚太,东京,37 ms,5.96
138.3.215.231,44784,JP,TRUE,NRT,亚太,东京,39 ms,5.94
146.70.175.124,443,NL,TRUE,AMS,欧洲,阿姆斯特丹,162 ms,5.9
193.122.126.123,443,HK,TRUE,HKG,亚太,香港,37 ms,5.83
104.129.165.133,443,US,TRUE,SEA,北美洲,西雅图,223 ms,5.75
45.93.30.117,27445,KR,TRUE,ICN,亚太,首尔,66 ms,5.73
58.141.125.141,30059,KR,TRUE,ICN,亚太,首尔,46 ms,5.6
140.238.7.57,9999,KR,TRUE,ICN,亚太,首尔,37 ms,5.58
54.238.114.82,443,JP,TRUE,NRT,亚太,东京,82 ms,5.53
154.9.246.188,18859,HK,TRUE,HKG,亚太,香港,44 ms,5.52
210.87.195.139,26439,KR,TRUE,ICN,亚太,首尔,37 ms,5.48
210.87.202.245,52646,KR,TRUE,ICN,亚太,首尔,54 ms,5.25
39.126.160.150,38099,KR,TRUE,ICN,亚太,首尔,64 ms,5.25
152.67.151.178,443,GB,TRUE,LHR,欧洲,伦敦,197 ms,5.23
45.251.240.213,34237,JP,TRUE,KIX,亚太,大阪,70 ms,5.18
23.94.233.169,62225,US,TRUE,SJC,北美洲,圣何塞,166 ms,5.11
141.147.163.68,443,JP,TRUE,NRT,亚太,东京,40 ms,5.05
138.2.36.157,8443,JP,TRUE,KIX,亚太,大阪,199 ms,5.01
118.163.128.81,25593,TW,TRUE,KHH,亚太,高雄,64 ms,4.99
138.2.69.236,11216,SG,TRUE,SIN,亚太,新加坡,75 ms,4.99
185.114.72.67,443,ES,TRUE,MAD,欧洲,马德里,268 ms,4.86
34.116.142.32,443,DE,TRUE,FRA,欧洲,法兰克福,220 ms,4.75
150.230.214.172,35150,HK,TRUE,HKG,亚太,香港,225 ms,4.75
206.238.237.178,443,GB,TRUE,LHR,欧洲,伦敦,306 ms,4.71
45.59.187.130,34237,US,TRUE,SJC,北美洲,圣何塞,161 ms,4.61
206.238.236.148,443,US,TRUE,SJC,北美洲,圣何塞,184 ms,4.61
104.129.167.135,443,US,TRUE,ATL,北美洲,亚特兰大,207 ms,4.61
206.238.237.96,443,US,TRUE,SJC,北美洲,圣何塞,195 ms,4.56
130.162.140.215,443,JP,TRUE,NRT,亚太,东京,52 ms,4.47
103.20.223.16,55044,US,TRUE,SEA,北美洲,西雅图,35 ms,4.37
146.70.175.117,443,NL,TRUE,AMS,欧洲,阿姆斯特丹,217 ms,4.37
193.122.197.111,443,US,TRUE,IAD,北美洲,阿什本,246 ms,4.32
103.225.199.188,28976,HK,TRUE,HKG,亚太,香港,33 ms,4.21
178.33.196.127,2053,FR,TRUE,CDG,欧洲,巴黎,167 ms,4.19
146.70.175.115,443,NL,TRUE,AMS,欧洲,阿姆斯特丹,222 ms,4.18
155.248.202.141,443,US,TRUE,SJC,北美洲,圣何塞,198 ms,4.16
45.58.37.185,2053,CA,TRUE,YYZ,北美洲,多伦多,267 ms,4.13
150.136.241.40,8443,US,TRUE,IAD,北美洲,阿什本,261 ms,4.13
146.56.132.247,443,JP,TRUE,NRT,亚太,东京,72 ms,4.11
104.129.165.133,443,US,TRUE,ATL,北美洲,亚特兰大,217 ms,4.07
152.67.231.219,443,US,TRUE,SJC,北美洲,圣何塞,198 ms,4.05
140.238.195.98,443,AU,TRUE,SYD,大洋洲,悉尼,259 ms,4.05
37.123.193.49,18008,US,TRUE,SJC,北美洲,圣何塞,176 ms,4
193.122.126.123,443,JP,TRUE,NRT,亚太,东京,65 ms,3.94
51.107.13.85,8443,IT,TRUE,MXP,欧洲,米兰,242 ms,3.86
65.75.194.18,16888,US,TRUE,SJC,北美洲,圣何塞,162 ms,3.77
51.107.6.128,8443,IT,TRUE,MXP,欧洲,米兰,259 ms,3.74
129.146.248.140,443,US,TRUE,LAX,北美洲,洛杉矶,213 ms,3.7
61.220.65.189,26832,TW,TRUE,TPE,亚太,台北,71 ms,3.68
119.28.64.48,20015,HK,TRUE,HKG,亚太,香港,43 ms,3.67
108.165.169.221,8443,CA,TRUE,YVR,北美洲,温哥华,211 ms,3.6
47.243.225.216,34237,HK,TRUE,HKG,亚太,香港,43 ms,3.58
129.146.254.39,443,US,TRUE,LAX,北美洲,洛杉矶,208 ms,3.53
8.217.45.182,34237,HK,TRUE,HKG,亚太,香港,39 ms,3.46
158.101.32.53,2053,US,TRUE,LAX,北美洲,洛杉矶,223 ms,3.34
206.238.236.148,443,GB,TRUE,LHR,欧洲,伦敦,293 ms,3.32
103.28.46.91,34237,HK,TRUE,HKG,亚太,香港,34 ms,3.1
173.249.202.215,8086,US,TRUE,PHX,北美洲,凤凰城,174 ms,3.08
206.238.237.101,443,GB,TRUE,LHR,欧洲,伦敦,298 ms,3.03
150.109.156.204,10002,HK,TRUE,HKG,亚太,香港,43 ms,3.01
165.154.161.183,553,TW,TRUE,TPE,亚太,台北,63 ms,2.92
103.137.63.37,53760,TW,TRUE,TPE,亚太,台北,69 ms,2.89
129.153.213.8,443,US,TRUE,SAN,北美洲,圣地亚哥,219 ms,2.84
38.59.245.159,41697,US,TRUE,EWR,北美洲,纽瓦克,134 ms,2.83
154.197.121.13,8443,US,TRUE,SJC,北美洲,圣何塞,152 ms,2.78
103.137.63.37,46832,HK,TRUE,HKG,亚太,香港,95 ms,2.72
146.70.169.122,443,NL,TRUE,AMS,欧洲,阿姆斯特丹,169 ms,2.62
168.138.46.67,443,JP,TRUE,KIX,亚太,大阪,202 ms,2.62
150.136.87.192,443,US,TRUE,IAD,北美洲,阿什本,276 ms,2.58
47.243.42.219,8443,HK,TRUE,HKG,亚太,香港,613 ms,2.57
154.197.121.13,8443,US,TRUE,SEA,北美洲,西雅图,186 ms,2.52
43.154.34.74,1935,HK,TRUE,HKG,亚太,香港,41 ms,2.52
3.112.21.102,443,JP,TRUE,NRT,亚太,东京,50 ms,2.5
146.70.175.165,443,NL,TRUE,AMS,欧洲,阿姆斯特丹,158 ms,2.48
45.205.0.136,443,US,TRUE,SJC,北美洲,圣何塞,139 ms,2.39
146.70.175.176,443,NL,TRUE,AMS,欧洲,阿姆斯特丹,220 ms,2.34
210.68.95.96,443,TW,TRUE,TPE,亚太,台北,28 ms,2.3
183.104.40.186,10200,KR,TRUE,ICN,亚太,首尔,79 ms,2.19
43.156.6.97,10392,SG,TRUE,SIN,亚太,新加坡,203 ms,2.15
129.154.192.228,55040,KR,TRUE,ICN,亚太,首尔,50 ms,2.12
58.141.125.141,30053,KR,TRUE,ICN,亚太,首尔,55 ms,2.08
43.153.208.195,26306,SG,TRUE,SIN,亚太,新加坡,276 ms,2.01
